"partno","altpartno"
"000-001-44PHR","PVC FILM (0.8MM) (30M X 1.40M)"
"000-001-44PHR","PVC FILM (1MM) (20M X 1.40M)"
"000-001-44PHR","ПЛЕНКА ПРОЗР. ПВХ 1ММ ШИР.1,37М"
"00000584","UM56-12-9"
"00000665","UM56-12-11"
"000013328","774-133-28"
"00002136","A312305A01RFD"
"00002137","A312305A02RFD"
"0000407748","774-077-48"
"0000407783","774-077-83"
"0000409196","774-091-96"
"0000409315","774-093-15"
"0000409495","774-094-95"
"0000410272","774-102-72"
"0000410275","774-102-75"
"0000410621","774-106-21"
"0000410887","774-108-87"
"0000411297","774-112-97"
"0000411591","774-115-91"
"0000411692","774-116-92"
"0000412646","774-126-46"
"0000413328","774-133-28"
"0000413681","774-136-81"
"0000413990","00413990"
"0000413990","774-139-90"
"0000414455","774-144-55"
"0000904007","779-040-07"
"0000904007","HTN0000904007"
"0000904007","Q69X4559"
"0000917224","779-172-24"
"0000917224","HTN0000917224"
"0000919533","1400921613"
"0000920237","1400921613"
"0000920846","779-208-46"
"0000941355","779-413-55"
"0000941355","HTN0000941355"
"0000943572","HTN0000943572"
"0000950883","779-508-83"
"0000950883","HTN0000950883"
"0000952758","779-527-58"
"0000952758","HTN0000952758"
"0000986184","779-861-84"
"0000986184","HTN0000986184"
"0000986184","SMBJ188CA"
"0000986550","779-865-50"
"0000986550","HTN0000986550"
"0000986550","IXFA4N100Q"
"0000986551","779-865-51"
"0000986551","HTN0000986551"
"0000986551","T410-700B"
"0000986806","779-868-06"
"0000986806","HTN0000986806"
"0000986806","TLP521-2F"
"0000986816","779-868-16"
"0000986816","97969095"
"0000986816","HTN0000986816"
"0001000007","01000007"
"0001000007","1000007"
"0001000060","01000060"
"0001000160","01000160"
"0001000819","01000819"
"0001004331","01004331"
"0001004331","1004331"
"0001004333","01004333"
"0001004333","1004333"
"0001011437","1011437"
"0001011484","01011484"
"0001015307","0001040957"
"0001025345","01020984"
"0001025345","01025345"
"0001025345","1020984"
"0001025345","1025345"
"0001028681","01028681"
"0001028681","1028681"
"0001040957","01040957"
"0001040957","1040957"
"0001040957","AD-01040957"
"0009629","14Y0001-001"
"0009629","14Y0001-003"
"000W280","3M SCOTCH 24"
"00100","AME240"
"00110201060","020-0020-00"
"00110201060","NSA937901S"
"001104-100-02","NSA937910EA2200"
